Types	Mut_burden
CNS-Medullo	1112
CNS-Medullo	533
CNS-Medullo	1303
CNS-Medullo	769
CNS-Medullo	1428
CNS-Medullo	605
CNS-Medullo	1755
CNS-Medullo	3063
CNS-Medullo	838
CNS-Medullo	717
CNS-Medullo	118
CNS-Medullo	1509
CNS-Medullo	1049
CNS-Medullo	1941
CNS-Medullo	770
CNS-Medullo	970
CNS-Medullo	2655
CNS-Medullo	1124
CNS-Medullo	433
CNS-Medullo	337
CNS-Medullo	1272
CNS-Medullo	928
CNS-Medullo	5132
CNS-Medullo	1289
CNS-Medullo	537
CNS-Medullo	604
CNS-Medullo	1143
CNS-Medullo	596
CNS-Medullo	735
CNS-Medullo	1577
CNS-Medullo	1551
CNS-Medullo	292
CNS-Medullo	2317
CNS-Medullo	1686
CNS-Medullo	1140
CNS-Medullo	1548
CNS-Medullo	1242
CNS-Medullo	2732
CNS-Medullo	772
CNS-Medullo	656
CNS-Medullo	3323
CNS-Medullo	2601
CNS-Medullo	1032
CNS-Medullo	2676
CNS-Medullo	1748
CNS-Medullo	1109
CNS-Medullo	786
CNS-Medullo	621
CNS-Medullo	988
CNS-Medullo	1116
CNS-Medullo	402
CNS-Medullo	1078
CNS-Medullo	729
CNS-Medullo	417
CNS-Medullo	952
CNS-Medullo	348
CNS-Medullo	974
CNS-Medullo	790
CNS-Medullo	2273
CNS-Medullo	638
CNS-Medullo	774
CNS-Medullo	3192
CNS-Medullo	4180
CNS-Medullo	707
CNS-Medullo	1631
CNS-Medullo	323
CNS-Medullo	2506
CNS-Medullo	3555
CNS-Medullo	2430
CNS-Medullo	5402
CNS-Medullo	2153
CNS-Medullo	897
CNS-Medullo	84
CNS-Medullo	425
CNS-Medullo	1164
CNS-Medullo	588
CNS-Medullo	1005
CNS-Medullo	2182
CNS-Medullo	1155
CNS-Medullo	885
CNS-Medullo	4179
CNS-Medullo	2232
CNS-Medullo	3722
CNS-Medullo	1990
CNS-Medullo	1752
CNS-Medullo	1170
CNS-Medullo	4417
CNS-Medullo	1271
CNS-Medullo	235
CNS-Medullo	3526
CNS-Medullo	1870
CNS-Medullo	379
CNS-Medullo	1389
CNS-Medullo	376
CNS-Medullo	1973
CNS-Medullo	1968
CNS-Medullo	1254
CNS-Medullo	1164
CNS-Medullo	498
CNS-Medullo	1723
CNS-Medullo	217
CNS-Medullo	1167
CNS-Medullo	920
CNS-Medullo	2095
CNS-Medullo	1099
CNS-Medullo	866
CNS-Medullo	576
CNS-Medullo	2127
CNS-Medullo	4301
CNS-Medullo	1175
CNS-Medullo	347
CNS-Medullo	421
CNS-Medullo	1401
CNS-Medullo	1933
CNS-Medullo	1620
CNS-Medullo	676
CNS-Medullo	944
CNS-Medullo	925
CNS-Medullo	1452
CNS-Medullo	2739
CNS-Medullo	216
CNS-Medullo	843
CNS-Medullo	1732
CNS-Medullo	456
CNS-Oligo	2536
CNS-Oligo	3235
CNS-Oligo	2334
CNS-Oligo	5434
CNS-Oligo	1881
CNS-Oligo	1657
CNS-Oligo	429
CNS-Oligo	4135
CNS-Oligo	1537
CNS-Oligo	1142
CNS-Oligo	2652
CNS-Oligo	6177
CNS-Oligo	2800
CNS-Oligo	2206
CNS-Oligo	2923
CNS-Oligo	2139
CNS-Oligo	2820
CNS-Oligo	2157
CNS-PiloAstro	104
CNS-PiloAstro	219
CNS-PiloAstro	86
CNS-PiloAstro	281
CNS-PiloAstro	198
CNS-PiloAstro	94
CNS-PiloAstro	145
CNS-PiloAstro	128
CNS-PiloAstro	101
CNS-PiloAstro	286
CNS-PiloAstro	161
CNS-PiloAstro	478
CNS-PiloAstro	288
CNS-PiloAstro	163
CNS-PiloAstro	707
CNS-PiloAstro	99
CNS-PiloAstro	383
CNS-PiloAstro	129
CNS-PiloAstro	260
CNS-PiloAstro	126
CNS-PiloAstro	90
CNS-PiloAstro	159
CNS-PiloAstro	702
CNS-PiloAstro	104
CNS-PiloAstro	107
CNS-PiloAstro	118
CNS-PiloAstro	266
CNS-PiloAstro	122
CNS-PiloAstro	95
CNS-PiloAstro	77
CNS-PiloAstro	222
CNS-PiloAstro	57
CNS-PiloAstro	109
CNS-PiloAstro	58
CNS-PiloAstro	180
CNS-PiloAstro	428
CNS-PiloAstro	84
CNS-PiloAstro	67
CNS-PiloAstro	88
CNS-PiloAstro	487
CNS-PiloAstro	131
CNS-PiloAstro	186
CNS-PiloAstro	1278
CNS-PiloAstro	164
CNS-PiloAstro	95
CNS-PiloAstro	137
CNS-PiloAstro	120
CNS-PiloAstro	240
CNS-PiloAstro	118
CNS-PiloAstro	182
CNS-PiloAstro	364
CNS-PiloAstro	344
CNS-PiloAstro	195
CNS-PiloAstro	172
CNS-PiloAstro	1113
CNS-PiloAstro	509
CNS-PiloAstro	197
CNS-PiloAstro	121
CNS-PiloAstro	135
CNS-PiloAstro	364
CNS-PiloAstro	204
CNS-PiloAstro	229
CNS-PiloAstro	262
CNS-PiloAstro	169
CNS-PiloAstro	372
CNS-PiloAstro	195
CNS-PiloAstro	225
CNS-PiloAstro	136
CNS-PiloAstro	40
CNS-PiloAstro	146
CNS-PiloAstro	90
CNS-PiloAstro	358
CNS-PiloAstro	235
CNS-PiloAstro	318
CNS-PiloAstro	514
CNS-PiloAstro	453
CNS-PiloAstro	107
CNS-PiloAstro	137
CNS-PiloAstro	1016
CNS-PiloAstro	512
CNS-PiloAstro	319
CNS-PiloAstro	462
CNS-PiloAstro	90
CNS-PiloAstro	126
CNS-PiloAstro	129
CNS-PiloAstro	96
CNS-PiloAstro	400
CNS-PiloAstro	101
CNS-PiloAstro	358
Cervix-AdenoCA	2855
Cervix-AdenoCA	5299
Cervix-SCC	9998
Cervix-SCC	7641
Cervix-SCC	6375
Cervix-SCC	2289
Cervix-SCC	3781
Cervix-SCC	4910
Cervix-SCC	8458
Cervix-SCC	13400
Cervix-SCC	4244
Cervix-SCC	6857
Cervix-SCC	8756
Cervix-SCC	8787
Cervix-SCC	3090
Cervix-SCC	4466
Cervix-SCC	3271
Cervix-SCC	3938
Cervix-SCC	7319
Cervix-SCC	6638
ColoRect-AdenoCA	108227
ColoRect-AdenoCA	124362
ColoRect-AdenoCA	81348
ColoRect-AdenoCA	113975
ColoRect-AdenoCA	10808
ColoRect-AdenoCA	88434
ColoRect-AdenoCA	97478
ColoRect-AdenoCA	807487
ColoRect-AdenoCA	234231
ColoRect-AdenoCA	6924
ColoRect-AdenoCA	94904
ColoRect-AdenoCA	24074
ColoRect-AdenoCA	849282
ColoRect-AdenoCA	9387
ColoRect-AdenoCA	259867
ColoRect-AdenoCA	11405
ColoRect-AdenoCA	2432617
ColoRect-AdenoCA	17029
ColoRect-AdenoCA	18545
ColoRect-AdenoCA	21602
ColoRect-AdenoCA	161139
ColoRect-AdenoCA	19282
ColoRect-AdenoCA	19275
ColoRect-AdenoCA	18961
ColoRect-AdenoCA	30148
ColoRect-AdenoCA	24571
ColoRect-AdenoCA	12261
ColoRect-AdenoCA	793040
ColoRect-AdenoCA	13416
ColoRect-AdenoCA	10570
ColoRect-AdenoCA	12445
ColoRect-AdenoCA	960813
ColoRect-AdenoCA	18203
ColoRect-AdenoCA	12380
ColoRect-AdenoCA	6901
ColoRect-AdenoCA	13349
ColoRect-AdenoCA	17292
ColoRect-AdenoCA	9762
ColoRect-AdenoCA	12560
ColoRect-AdenoCA	11388
ColoRect-AdenoCA	14814
ColoRect-AdenoCA	18261
ColoRect-AdenoCA	17638
ColoRect-AdenoCA	11448
ColoRect-AdenoCA	26787
ColoRect-AdenoCA	17201
ColoRect-AdenoCA	15203
ColoRect-AdenoCA	2426469
ColoRect-AdenoCA	14969
ColoRect-AdenoCA	19082
ColoRect-AdenoCA	11513
ColoRect-AdenoCA	9100
ColoRect-AdenoCA	26767
ColoRect-AdenoCA	20273
ColoRect-AdenoCA	13617
ColoRect-AdenoCA	11208
ColoRect-AdenoCA	7664
ColoRect-AdenoCA	7538
ColoRect-AdenoCA	9346
ColoRect-AdenoCA	20606
Eso-AdenoCA	14784
Eso-AdenoCA	30694
Eso-AdenoCA	10026
Eso-AdenoCA	41084
Eso-AdenoCA	16565
Eso-AdenoCA	61
Eso-AdenoCA	63983
Eso-AdenoCA	25128
Eso-AdenoCA	10831
Eso-AdenoCA	14514
Eso-AdenoCA	7241
Eso-AdenoCA	5988
Eso-AdenoCA	43706
Eso-AdenoCA	13547
Eso-AdenoCA	79659
Eso-AdenoCA	26764
Eso-AdenoCA	21542
Eso-AdenoCA	32227
Eso-AdenoCA	8492
Eso-AdenoCA	34998
Eso-AdenoCA	18024
Eso-AdenoCA	13451
Eso-AdenoCA	28771
Eso-AdenoCA	10574
Eso-AdenoCA	3304
Eso-AdenoCA	11574
Eso-AdenoCA	33976
Eso-AdenoCA	23584
Eso-AdenoCA	24056
Eso-AdenoCA	42572
Eso-AdenoCA	46789
Eso-AdenoCA	39884
Eso-AdenoCA	19321
Eso-AdenoCA	19056
Eso-AdenoCA	32123
Eso-AdenoCA	40474
Eso-AdenoCA	17809
Eso-AdenoCA	79140
Eso-AdenoCA	55751
Eso-AdenoCA	20549
Eso-AdenoCA	16911
Eso-AdenoCA	38645
Eso-AdenoCA	9288
Eso-AdenoCA	8214
Eso-AdenoCA	13527
Eso-AdenoCA	21883
Eso-AdenoCA	17840
Eso-AdenoCA	74471
Eso-AdenoCA	21386
Eso-AdenoCA	45635
Eso-AdenoCA	29357
Eso-AdenoCA	45224
Eso-AdenoCA	27205
Eso-AdenoCA	31083
Eso-AdenoCA	41287
Eso-AdenoCA	13555
Eso-AdenoCA	24806
Eso-AdenoCA	13888
Eso-AdenoCA	6454
Eso-AdenoCA	18368
Eso-AdenoCA	17292
Eso-AdenoCA	59462
Eso-AdenoCA	6748
Eso-AdenoCA	34344
Eso-AdenoCA	25699
Eso-AdenoCA	105594
Eso-AdenoCA	14664
Eso-AdenoCA	15085
Eso-AdenoCA	17630
Eso-AdenoCA	38605
Eso-AdenoCA	54578
Eso-AdenoCA	9699
Eso-AdenoCA	22661
Eso-AdenoCA	10946
Eso-AdenoCA	18697
Eso-AdenoCA	6229
Eso-AdenoCA	123973
Eso-AdenoCA	24691
Eso-AdenoCA	24979
Eso-AdenoCA	10434
Eso-AdenoCA	24806
Eso-AdenoCA	22519
Eso-AdenoCA	24073
Eso-AdenoCA	57609
Eso-AdenoCA	28980
Eso-AdenoCA	11300
Eso-AdenoCA	14619
Eso-AdenoCA	33869
Eso-AdenoCA	19584
Eso-AdenoCA	36152
Eso-AdenoCA	10789
Eso-AdenoCA	29441
Eso-AdenoCA	20114
Eso-AdenoCA	39606
Eso-AdenoCA	11311
Eso-AdenoCA	35397
Eso-AdenoCA	27106
Eso-AdenoCA	19353
Head-SCC	26983
Head-SCC	3021
Head-SCC	12512
Head-SCC	5556
Head-SCC	8814
Head-SCC	16693
Head-SCC	9476
Head-SCC	13193
Head-SCC	16896
Head-SCC	49681
Head-SCC	3390
Head-SCC	87623
Head-SCC	27225
Head-SCC	30658
Head-SCC	43025
Head-SCC	12900
Head-SCC	5051
Head-SCC	3950
Head-SCC	7187
Head-SCC	5903
Head-SCC	17995
Head-SCC	14138
Head-SCC	4627
Head-SCC	52507
Head-SCC	7544
Head-SCC	16812
Head-SCC	5849
Head-SCC	21859
Head-SCC	4142
Head-SCC	8798
Head-SCC	3037
Head-SCC	523
Head-SCC	12989
Head-SCC	24415
Head-SCC	22002
Head-SCC	5155
Head-SCC	5198
Head-SCC	13164
Head-SCC	49453
Head-SCC	63185
Head-SCC	31795
Head-SCC	3124
Head-SCC	7213
Head-SCC	2866
Head-SCC	7009
Head-SCC	9006
Head-SCC	13257
Head-SCC	2892
Head-SCC	780
Head-SCC	6406
Head-SCC	10635
Head-SCC	3760
Head-SCC	4544
Head-SCC	5773
Head-SCC	15087
Head-SCC	23837
Head-SCC	12468
Kidney-ChRCC	40498
Kidney-ChRCC	1669
Kidney-ChRCC	10017
Kidney-ChRCC	2052
Kidney-ChRCC	1681
Kidney-ChRCC	2210
Kidney-ChRCC	2007
Kidney-ChRCC	1898
Kidney-ChRCC	1967
Kidney-ChRCC	882
Kidney-ChRCC	1768
Kidney-ChRCC	1225
Kidney-ChRCC	1775
Kidney-ChRCC	1493
Kidney-ChRCC	979
Kidney-ChRCC	1799
Kidney-ChRCC	948
Kidney-ChRCC	1618
Kidney-ChRCC	1957
Kidney-ChRCC	1981
Kidney-ChRCC	897
Kidney-ChRCC	3452
Kidney-ChRCC	1114
Kidney-ChRCC	839
Kidney-ChRCC	1255
Kidney-ChRCC	1671
Kidney-ChRCC	587
Kidney-ChRCC	1457
Kidney-ChRCC	1722
Kidney-ChRCC	1693
Kidney-ChRCC	2519
Kidney-ChRCC	1811
Kidney-ChRCC	1298
Kidney-ChRCC	2154
Kidney-ChRCC	2687
Kidney-ChRCC	1055
Kidney-ChRCC	1071
Kidney-ChRCC	1550
Kidney-ChRCC	922
Kidney-ChRCC	869
Kidney-ChRCC	996
Kidney-ChRCC	1547
Kidney-ChRCC	3136
Kidney-ChRCC	1496
Kidney-ChRCC	2290
Kidney-RCC	1625
Kidney-RCC	5155
Kidney-RCC	4226
Kidney-RCC	3899
Kidney-RCC	7162
Kidney-RCC	4093
Kidney-RCC	5336
Kidney-RCC	4903
Kidney-RCC	6770
Kidney-RCC	4241
Kidney-RCC	3691
Kidney-RCC	8219
Kidney-RCC	6177
Kidney-RCC	6495
Kidney-RCC	6910
Kidney-RCC	7775
Kidney-RCC	3362
Kidney-RCC	3106
Kidney-RCC	2982
Kidney-RCC	5645
Kidney-RCC	3913
Kidney-RCC	4572
Kidney-RCC	3922
Kidney-RCC	3818
Kidney-RCC	6968
Kidney-RCC	4300
Kidney-RCC	5527
Kidney-RCC	6784
Kidney-RCC	8695
Kidney-RCC	6580
Kidney-RCC	5557
Kidney-RCC	4808
Kidney-RCC	4778
Kidney-RCC	6876
Kidney-RCC	3855
Kidney-RCC	3203
Kidney-RCC	7609
Kidney-RCC	3740
Kidney-RCC	3897
Kidney-RCC	4325
Kidney-RCC	7222
Kidney-RCC	5345
Kidney-RCC	6669
Kidney-RCC	7277
Kidney-RCC	6341
Kidney-RCC	6229
Kidney-RCC	4307
Kidney-RCC	7628
Kidney-RCC	3165
Kidney-RCC	4969
Kidney-RCC	3165
Kidney-RCC	5461
Kidney-RCC	10282
Kidney-RCC	7042
Kidney-RCC	5153
Kidney-RCC	5015
Kidney-RCC	7905
Kidney-RCC	6970
Kidney-RCC	3637
Kidney-RCC	1854
Kidney-RCC	3570
Kidney-RCC	5376
Kidney-RCC	6872
Kidney-RCC	2689
Kidney-RCC	3713
Kidney-RCC	5383
Kidney-RCC	4418
Kidney-RCC	2330
Kidney-RCC	7399
Kidney-RCC	4781
Kidney-RCC	5072
Kidney-RCC	9259
Kidney-RCC	7291
